epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,776.328,1.21695,0.21245,0,0.61747,2.10447,0.97703,1,0.98331,0.6831,0.97703,1,0.98331,0.96419,1.22176,0.10971,0,0.48943,1.93387,0.0015545,0.0015545,0.0015545
92,784.821,1.20092,0.23078,0,0.58743,2.09705,0.97721,1,0.9853,0.68897,0.97721,1,0.9853,0.96502,1.20592,0.10521,0,0.49212,1.89329,0.00154955,0.00154955,0.00154955
93,793.368,1.19953,0.19695,0,0.60137,2.1203,0.97515,0.99808,0.9838,0.6719,0.97703,1,0.98385,0.96045,1.23245,0.10201,0,0.50409,1.92449,0.0015446,0.0015446,0.0015446
94,801.939,1.18724,0.21324,0,0.61188,2.07812,0.97329,0.99615,0.98441,0.66199,0.97705,1,0.98486,0.96558,1.31886,0.11215,0,0.51902,2.04081,0.00153965,0.00153965,0.00153965
95,810.438,1.215,0.21027,0,0.60909,2.10858,0.9771,1,0.98746,0.73985,0.9771,1,0.98746,0.96645,1.07564,0.123,0,0.47224,1.82227,0.0015347,0.0015347,0.0015347
96,818.936,1.17309,0.22773,0,0.58921,2.07871,0.97737,1,0.98652,0.73545,0.97737,1,0.98652,0.96486,1.09443,0.10178,0,0.45619,1.82501,0.00152975,0.00152975,0.00152975
97,827.634,1.19942,0.19966,0,0.57541,2.0954,0.97728,1,0.98186,0.67803,0.97728,1,0.98186,0.9627,1.24863,0.10628,0,0.46943,1.92923,0.0015248,0.0015248,0.0015248
98,836.135,1.20403,0.22082,0,0.59184,2.11123,0.97715,0.99808,0.98391,0.72375,0.97715,0.99808,0.98391,0.96393,1.07864,0.12236,0,0.48332,1.80118,0.00151985,0.00151985,0.00151985
99,844.623,1.20199,0.19075,0,0.59199,2.10987,0.97492,0.99808,0.98598,0.7064,0.9768,1,0.98694,0.96446,1.18391,0.09901,0,0.47658,1.90112,0.0015149,0.0015149,0.0015149
100,853.105,1.17137,0.21502,0,0.57373,2.06298,0.97717,1,0.98724,0.73886,0.97717,1,0.98724,0.96914,1.06561,0.10799,0,0.44859,1.79113,0.00150995,0.00150995,0.00150995
101,861.998,1.17127,0.21434,0,0.59088,2.07432,0.97733,1,0.98047,0.67355,0.97733,1,0.98047,0.96189,1.20535,0.10502,0,0.47652,1.922,0.001505,0.001505,0.001505
102,870.498,1.18376,0.19675,0,0.58789,2.07415,0.97545,0.99808,0.98255,0.67864,0.97733,1,0.98273,0.96449,1.25298,0.11185,0,0.48467,1.96039,0.00150005,0.00150005,0.00150005
103,878.943,1.19836,0.21604,0,0.60307,2.09307,0.97529,0.99808,0.98482,0.61283,0.97717,1,0.98699,0.96567,1.46949,0.11223,0,0.50417,2.15805,0.0014951,0.0014951,0.0014951
104,887.528,1.23288,0.2284,0,0.59442,2.13886,0.9718,0.99405,0.98367,0.64426,0.97744,0.99982,0.98643,0.96179,1.34683,0.11036,0,0.50684,2.04147,0.00149015,0.00149015,0.00149015
105,896.022,1.17057,0.21119,0,0.57906,2.06896,0.97736,1,0.98526,0.72049,0.97736,1,0.98526,0.96497,1.13012,0.10765,0,0.48023,1.85449,0.0014852,0.0014852,0.0014852
106,904.731,1.19152,0.20367,0,0.61006,2.10035,0.9772,1,0.98597,0.74111,0.9772,1,0.98597,0.96719,1.05202,0.10764,0,0.46372,1.79186,0.00148025,0.00148025,0.00148025
107,913.195,1.18455,0.19484,0,0.56791,2.07717,0.97759,1,0.98912,0.70283,0.97759,1,0.98912,0.96961,1.14812,0.10166,0,0.48239,1.87624,0.0014753,0.0014753,0.0014753
108,921.797,1.18742,0.2025,0,0.59,2.08143,0.97739,1,0.98112,0.67037,0.97739,1,0.98112,0.96296,1.22849,0.10993,0,0.48809,1.93594,0.00147035,0.00147035,0.00147035
109,930.309,1.20048,0.22007,0,0.58654,2.09486,0.97722,1,0.98874,0.70432,0.97722,1,0.98874,0.96578,1.16308,0.10958,0,0.46385,1.86258,0.0014654,0.0014654,0.0014654
110,939.068,1.1754,0.2107,0,0.57655,2.06899,0.9771,1,0.98733,0.71402,0.9771,1,0.98733,0.96491,1.10899,0.10412,0,0.47082,1.82003,0.00146045,0.00146045,0.00146045
111,947.704,1.14239,0.20306,0,0.57069,2.03152,0.97722,1,0.98766,0.70925,0.97722,1,0.98766,0.96777,1.15338,0.1009,0,0.45332,1.8554,0.0014555,0.0014555,0.0014555
112,956.32,1.18221,0.22088,0,0.575,2.08164,0.97546,1,0.98762,0.73938,0.97546,1,0.98762,0.96607,1.0405,0.10736,0,0.45367,1.784,0.00145055,0.00145055,0.00145055
113,964.829,1.19961,0.19788,0,0.59159,2.10622,0.97721,1,0.9878,0.7143,0.97721,1,0.9878,0.96382,1.11635,0.10961,0,0.48197,1.82992,0.0014456,0.0014456,0.0014456
114,973.34,1.17707,0.17183,0,0.58435,2.09944,0.97635,1,0.98569,0.71745,0.97635,1,0.98569,0.96014,1.07669,0.10731,0,0.46003,1.80113,0.00144065,0.00144065,0.00144065
115,981.938,1.18629,0.21356,0,0.58481,2.08075,0.97734,1,0.98803,0.68916,0.97734,1,0.98803,0.96674,1.23939,0.10944,0,0.47559,1.93236,0.0014357,0.0014357,0.0014357
116,990.491,1.19951,0.20549,0,0.59438,2.09688,0.9773,1,0.9839,0.71363,0.9773,1,0.9839,0.9614,1.11936,0.10725,0,0.46034,1.84833,0.00143075,0.00143075,0.00143075
117,999.08,1.19262,0.17285,0,0.58234,2.08355,0.97729,1,0.98514,0.71417,0.97729,1,0.98514,0.96486,1.15169,0.09833,0,0.45686,1.87041,0.0014258,0.0014258,0.0014258
118,1007.62,1.18386,0.20497,0,0.56875,2.08834,0.97729,1,0.98391,0.73172,0.97729,1,0.98391,0.96563,1.06951,0.09991,0,0.45579,1.80097,0.00142085,0.00142085,0.00142085
119,1016.23,1.17144,0.20309,0,0.56775,2.06664,0.97728,1,0.98463,0.73155,0.97728,1,0.98463,0.96467,1.07745,0.1048,0,0.44643,1.81683,0.0014159,0.0014159,0.0014159
120,1024.75,1.17983,0.21309,0,0.57957,2.07065,0.97725,1,0.98872,0.68166,0.97725,1,0.98872,0.9678,1.24539,0.09686,0,0.4776,1.9545,0.00141095,0.00141095,0.00141095
121,1033.57,1.19637,0.18991,0,0.58195,2.0992,0.97791,1,0.98496,0.7122,0.97791,1,0.98496,0.96451,1.13618,0.10027,0,0.4618,1.84045,0.001406,0.001406,0.001406
122,1042.06,1.15445,0.19495,0,0.57093,2.05243,0.97722,1,0.98899,0.70535,0.97722,1,0.98899,0.96935,1.1791,0.1055,0,0.44746,1.87303,0.00140105,0.00140105,0.00140105
123,1050.59,1.17347,0.19105,0,0.58592,2.07726,0.97608,1,0.98458,0.72591,0.97608,1,0.98458,0.96468,1.08086,0.10312,0,0.44865,1.81297,0.0013961,0.0013961,0.0013961
124,1059.12,1.14928,0.19575,0,0.5605,2.04212,0.97735,1,0.98761,0.72854,0.97735,1,0.98761,0.96899,1.15175,0.09822,0,0.4434,1.85823,0.00139115,0.00139115,0.00139115
125,1067.91,1.14915,0.18432,0,0.56895,2.03988,0.97731,1,0.98642,0.69423,0.97731,1,0.98642,0.96627,1.21075,0.10136,0,0.4634,1.91292,0.0013862,0.0013862,0.0013862
126,1076.42,1.18887,0.16533,0,0.58046,2.09963,0.97737,1,0.98814,0.67061,0.97737,1,0.98814,0.9657,1.30242,0.10003,0,0.49687,2.03277,0.00138125,0.00138125,0.00138125
